%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1676520700353177872,6403,1676520700352959185,,0,0,22.41543318502641,114.04143196297171,179.87767028808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520700552711949,6404,1676520700552478178,,0,0,22.415433671988975,114.04144327481103,179.86871337890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520700752950335,6405,1676520700752771260,,0,0,22.41543458383942,114.04145465662967,179.8693389892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520700952884993,6406,1676520700952653560,,0,0,22.415435842042108,114.0414660826192,179.86911010742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520701153926107,6407,1676520701153711691,,0,0,22.415437374139554,114.04147752573907,179.8530731201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520701352857217,6408,1676520701352645708,,0,0,22.41543913331646,114.04148904696653,179.8428192138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520701552288362,6409,1676520701552022354,,0,0,22.415441060134974,114.0415007000605,179.84857177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520701752875819,6410,1676520701752708508,,0,0,22.415443057249036,114.04151245126253,179.85487365722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520701952000918,6411,1676520701951836688,,0,0,22.415445046767275,114.04152426559526,179.86676025390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520702152553854,6412,1676520702152281019,,0,0,22.415447081046015,114.04153615808747,179.8657989501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520702352656399,6413,1676520702352435139,,0,0,22.415449056379906,114.04154808512679,179.8629608154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520702552430040,6414,1676520702552230933,,0,0,22.415450968096778,114.04156002296422,179.86276245117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520702752679046,6415,1676520702752494252,,0,0,22.415452799073016,114.0415720240822,179.87042236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520702952681715,6416,1676520702952425617,,0,0,22.415454624213144,114.04158393810533,179.86306762695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520703152760216,6417,1676520703152408623,,0,0,22.41545642436507,114.04159576011536,179.85678100585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520703352335934,6418,1676520703352131219,,0,0,22.41545820048841,114.04160759013041,179.84735107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520703552914661,6419,1676520703552692691,,0,0,22.415459858187738,114.04161937259931,179.83827209472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520703752922880,6420,1676520703752657747,,0,0,22.415461496872805,114.04163115562773,179.8361358642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520703952480184,6421,1676520703952268381,,0,0,22.415463064727245,114.0416428926788,179.8369903564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520704152634279,6422,1676520704152419480,,0,0,22.41546466270212,114.04165459366205,179.82229614257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520704352717523,6423,1676520704352460556,,0,0,22.415466283277826,114.04166621932043,179.80950927734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520704552441882,6424,1676520704552162328,,0,0,22.415467870466635,114.04167777155656,179.80177307128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520704753085156,6425,1676520704752779690,,0,0,22.41546932593174,114.04168942435753,179.80287170410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520704952129736,6426,1676520704951882267,,0,0,22.415470623306533,114.04170122462959,179.79945373535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520705152784259,6427,1676520705152545634,,0,0,22.41547192767431,114.04171301100618,179.79037475585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520705352872932,6428,1676520705352651121,,0,0,22.41547323798124,114.0417247662401,179.7791748046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520705552904714,6429,1676520705552585968,,0,0,22.41547455959771,114.04173646008577,179.76600646972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520705752590775,6430,1676520705752368478,,0,0,22.415475844749633,114.04174812718558,179.7583465576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520705952932490,6431,1676520705952711246,,0,0,22.415477114488194,114.04175971522486,179.75282287597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520706152171675,6432,1676520706151939185,,0,0,22.41547833452768,114.04177125472705,179.7611541748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520706352261336,6433,1676520706352074366,,0,0,22.415479670180925,114.04178271514407,179.7683868408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520706553032390,6434,1676520706552701530,,0,0,22.4154809783216,114.04179418298037,179.77957153320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520706752398375,6435,1676520706752193555,,0,0,22.415482264442925,114.04180568896174,179.7691650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520706952553393,6436,1676520706952275820,,0,0,22.415483536207915,114.04181731326872,179.75474548339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520707152485326,6437,1676520707152290016,,0,0,22.415484692062773,114.0418290020072,179.76907348632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520707352781217,6438,1676520707352607642,,0,0,22.415485827280143,114.04184075599366,179.76229858398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520707552325690,6439,1676520707552092386,,0,0,22.415486948143283,114.04185256389022,179.7455291748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520707752910515,6440,1676520707752722862,,0,0,22.415488095665104,114.04186434615224,179.74374389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520707952290298,6441,1676520707952061405,,0,0,22.4154892291525,114.04187608809995,179.75498962402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520708152650711,6442,1676520708152475732,,0,0,22.415490326097718,114.04188773283735,179.77359008789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520708352407479,6443,1676520708352220625,,0,0,22.415491423107206,114.04189932593253,179.76856994628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520708552782738,6444,1676520708552495234,,0,0,22.415492535825294,114.0419109396015,179.77647399902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520708752074163,6445,1676520708751859140,,0,0,22.415493635578564,114.04192256446674,179.7679443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520708952572505,6446,1676520708952357957,,0,0,22.415494761334624,114.0419341570809,179.76461791992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520709152853999,6447,1676520709152608420,,0,0,22.415495884445704,114.04194576295261,179.7559051513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520709352460025,6448,1676520709352286316,,0,0,22.415497069993343,114.04195730950211,179.76817321777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520709552521404,6449,1676520709552285756,,0,0,22.41549830839815,114.04196871756731,179.76394653320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520709752550447,6450,1676520709752306469,,0,0,22.4154995074014,114.04198017167299,179.76861572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520709952908051,6451,1676520709952610902,,0,0,22.415500740612607,114.04199162091784,179.7776641845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520710152496374,6452,1676520710152282501,,0,0,22.415502009145136,114.04200310252887,179.77806091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520710352246202,6453,1676520710351987776,,0,0,22.415503207957162,114.04201461986703,179.77090454101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520710552209359,6454,1676520710551957083,,0,0,22.415504245819612,114.04202623401035,179.7848358154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520710752969602,6455,1676520710752646299,,0,0,22.415505183328882,114.04203785410238,179.79002380371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520710952956920,6456,1676520710952709361,,0,0,22.415506204222343,114.04204950373544,179.7884521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520711152191368,6457,1676520711151900463,,0,0,22.415507336554757,114.04206114897418,179.7805938720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520711352948543,6458,1676520711352626860,,0,0,22.415508465729637,114.04207278866998,179.75448608398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520711552293973,6459,1676520711552078425,,0,0,22.41550954439215,114.0420844375718,179.72914123535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520711752912052,6460,1676520711752671633,,0,0,22.41551058220967,114.04209608075874,179.7523956298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520711951964504,6461,1676520711951792682,,0,0,22.415511709591712,114.04210763392565,179.75189208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520712152602663,6462,1676520712152315782,,0,0,22.415512842605853,114.04211921996189,179.7438201904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520712352054215,6463,1676520712351863161,,0,0,22.41551397919324,114.04213085336006,179.73011779785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520712551899492,6464,1676520712551674926,,0,0,22.41551512618057,114.0421424720422,179.7382049560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520712752513510,6465,1676520712752330225,,0,0,22.415516273248166,114.04215409648346,179.75836181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520712952866808,6466,1676520712952609014,,0,0,22.41551748176015,114.04216566534761,179.76611328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520713152198456,6467,1676520713151944657,,0,0,22.41551864658124,114.04217727984879,179.7713165283203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520713352884527,6468,1676520713352652204,,0,0,22.415519879273777,114.04218895267584,179.7744140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520713552470644,6469,1676520713552173611,,0,0,22.415521151082878,114.04220061725385,179.755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520713751923092,6470,1676520713751747708,,0,0,22.415522523057536,114.04221221674935,179.75588989257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520713952421110,6471,1676520713952196148,,0,0,22.41552386898649,114.04222376001043,179.7577667236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520714152503610,6472,1676520714152298209,,0,0,22.415525205448716,114.04223534537385,179.75567626953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520714352547173,6473,1676520714352355524,,0,0,22.41552650007749,114.0422469588188,179.7501220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520714552552719,6474,1676520714552238195,,0,0,22.41552779835759,114.04225858523206,179.76026916503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520714752471620,6475,1676520714752220265,,0,0,22.415529063301747,114.0422701966377,179.75686645507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520714952716865,6476,1676520714952539342,,0,0,22.41553034847029,114.04228181130807,179.75238037109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520715152382761,6477,1676520715152081191,,0,0,22.415531616297613,114.0422934018284,179.7445068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520715352066434,6478,1676520715351906179,,0,0,22.415532893445427,114.04230499172489,179.74452209472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520715552499355,6479,1676520715552214549,,0,0,22.415534168629765,114.04231659050275,179.7484588623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520715752476497,6480,1676520715752258795,,0,0,22.415535454283138,114.04232811569037,179.7473602294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520715952191368,6481,1676520715951924937,,0,0,22.415536741815686,114.0423396191758,179.7612762451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520716152161027,6482,1676520716151955611,,0,0,22.415538035062617,114.04235112113342,179.7708282470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520716352150418,6483,1676520716351854745,,0,0,22.415539354148965,114.04236256821643,179.76210021972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520716552032978,6484,1676520716551806435,,0,0,22.415540708779655,114.04237408049678,179.77291870117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676520716752037175,6485,1676520716751837329,,0,0,22.415542011804327,114.04238559446024,179.7650604248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
